File Name,Scientific Name,English Common Name,Chinese Name,Category,Photo Location
northern-elephant-seal.jpg,Mirounga angustirostris,Northern Elephant Seal,北象海豹,mammal,"Año Nuevo State Reserve, CA"
gray-whale.jpg,Eschrichtius robustus,Gray Whale,灰鲸,marine,"Monterey Bay, CA"
humpback-whale.jpg,Megaptera novaeangliae,Humpback Whale,座头鲸,marine,"Monterey Bay, CA"
blue-whale.jpg,Balaenoptera musculus,Blue Whale,蓝鲸,marine,"Channel Islands, CA"
california-sea-lion.jpg,Zalophus californianus,California Sea Lion,加州海狮,marine,"Pier 39, San Francisco, CA"
harbor-seal.jpg,Phoca vitulina,Harbor Seal,港海豹,marine,"Elkhorn Slough, CA"
sea-otter.jpg,Enhydra lutris nereis,Sea Otter,海獭,marine,"Monterey Bay, CA"
brown-pelican.jpg,Pelecanus occidentalis californicus,Brown Pelican,褐鹈鹕,bird,"La Jolla Cove, CA"
great-blue-heron.jpg,Ardea herodias,Great Blue Heron,大蓝鹭,bird,"Sacramento NWR, CA"
great-egret.jpg,Ardea alba,Great Egret,大白鹭,bird,"Central Valley wetlands, CA"
snowy-egret.jpg,Egretta thula,Snowy Egret,雪鹭,bird,"Bolsa Chica, CA"
black-crowned-night-heron.jpg,Nycticorax nycticorax,Black-crowned Night Heron,夜鹭,bird,"Lake Merritt, Oakland, CA"
tundra-swan.jpg,Cygnus columbianus,Tundra Swan,苔原天鹅,bird,"Sacramento NWR, CA"
snow-goose.jpg,Anser caerulescens,Snow Goose,雪雁,bird,"Central Valley, CA"
canada-goose.jpg,Branta canadensis,Canada Goose,加拿大雁,bird,"Golden Gate Park, San Francisco, CA"
northern-shoveler.jpg,Spatula clypeata,Northern Shoveler,琵嘴鸭,bird,"Central Valley, CA"
american-wigeon.jpg,Mareca americana,American Wigeon,赤颈凫,bird,"San Francisco Bay, CA"
northern-pintail.jpg,Anas acuta,Northern Pintail,针尾鸭,bird,"Klamath Basin, CA"
green-winged-teal.jpg,Anas crecca,Green-winged Teal,绿翅鸭,bird,"Sacramento NWR, CA"
ruddy-duck.jpg,Oxyura jamaicensis,Ruddy Duck,棕硬尾鸭,bird,"San Francisco Bay, CA"
bufflehead.jpg,Bucephala albeola,Bufflehead,白枕鹊鸭,bird,"Morro Bay, CA"
common-goldeneye.jpg,Bucephala clangula,Common Goldeneye,鹊鸭,bird,"Lake Tahoe, CA"
common-merganser.jpg,Mergus merganser,Common Merganser,普通秋沙鸭,bird,"Klamath River, CA"
sandhill-crane.jpg,Antigone canadensis,Sandhill Crane,沙丘鹤,bird,"Central Valley, CA"
american-coot.jpg,Fulica americana,American Coot,美洲骨顶,bird,"Lake Merritt, Oakland, CA"
western-grebe.jpg,Aechmophorus occidentalis,Western Grebe,北美鸊鷉,bird,"Clear Lake, CA"
eared-grebe.jpg,Podiceps nigricollis,Eared Grebe,黑颈鸊鷉,bird,"Mono Lake, CA"
pied-billed-grebe.jpg,Podilymbus podiceps,Pied-billed Grebe,斑嘴鸊鷉,bird,"Tule Lake NWR, CA"
common-loon.jpg,Gavia immer,Common Loon,普通潜鸟,bird,"Point Reyes, CA"
pelagic-cormorant.jpg,Urile pelagicus,Pelagic Cormorant,海鸬鹚,bird,"Farallon Islands, CA"
brandts-cormorant.jpg,Urile penicillatus,Brandt's Cormorant,加州鸬鹚,bird,"Point Lobos, CA"
bald-eagle.jpg,Haliaeetus leucocephalus,Bald Eagle,白头海雕,bird,"Klamath Basin, CA"
golden-eagle.jpg,Aquila chrysaetos,Golden Eagle,金雕,bird,"Eastern Sierra, CA"
red-tailed-hawk.jpg,Buteo jamaicensis,Red-tailed Hawk,红尾鵟,bird,"Golden Gate NRA, CA"
red-shouldered-hawk.jpg,Buteo lineatus,Red-shouldered Hawk,赤肩鵟,bird,"Marin County, CA"
coopers-hawk.jpg,Accipiter cooperii,Cooper's Hawk,库氏鹰,bird,"Los Angeles, CA"
northern-harrier.jpg,Circus hudsonius,Northern Harrier,白尾鷂,bird,"Carrizo Plain, CA"
american-kestrel.jpg,Falco sparverius,American Kestrel,美洲隼,bird,"Central Valley, CA"
peregrine-falcon.jpg,Falco peregrinus,Peregrine Falcon,游隼,bird,"Yosemite Valley, CA"
turkey-vulture.jpg,Cathartes aura,Turkey Vulture,红头美洲鹫,bird,"Big Sur, CA"
california-condor.jpg,Gymnogyps californianus,California Condor,加州神鹫,bird,"Pinnacles National Park, CA"
tule-elk.jpg,Cervus canadensis nannodes,Tule Elk,图勒麋鹿,mammal,"Point Reyes NS, CA"
mule-deer.jpg,Odocoileus hemionus,Mule Deer,黑尾鹿,mammal,"Yosemite National Park, CA"
coyote.jpg,Canis latrans,Coyote,郊狼,mammal,"Golden Gate Park, San Francisco, CA"
gray-fox.jpg,Urocyon cinereoargenteus,Gray Fox,灰狐,mammal,"Santa Monica Mountains, CA"
mountain-lion.jpg,Puma concolor,Mountain Lion,美洲狮,mammal,"Santa Cruz Mountains, CA"
bobcat.jpg,Lynx rufus,Bobcat,短尾猫,mammal,"Point Reyes NS, CA"
black-bear.jpg,Ursus americanus,American Black Bear,美洲黑熊,mammal,"Sequoia National Park, CA"
raccoon.jpg,Procyon lotor,Raccoon,浣熊,mammal,"San Francisco, CA"
striped-skunk.jpg,Mephitis mephitis,Striped Skunk,条纹臭鼬,mammal,"Central Valley, CA"
california-poppy.jpg,Eschscholzia californica,California Poppy,加州花菱草,plant,"Antelope Valley, CA"
arroyo-lupine.jpg,Lupinus succulentus,Arroyo Lupine,河岸羽扇豆,plant,"Carrizo Plain, CA"
lupinus-nanus.jpg,Lupinus nanus,Sky Lupine,天空羽扇豆,plant,"Coastal grasslands, CA"
california-poppy-white.jpg,Eschscholzia californica var. alba,White California Poppy,白花菱草,plant,"Coastal bluffs, CA"
baby-blue-eyes.jpg,Nemophila menziesii,Baby Blue Eyes,粉蝶花,plant,"Coastal meadows, CA"
goldfields.jpg,Lasthenia californica,Goldfields,金田菊,plant,"Central Valley, CA"
tidy-tips.jpg,Layia platyglossa,Tidy Tips,白尖金菊,plant,"Carrizo Plain, CA"
desert-sunflower.jpg,Geraea canescens,Desert Sunflower,沙漠向日葵,plant,"Anza-Borrego Desert, CA"
sand-verbena.jpg,Abronia villosa,Sand Verbena,沙地马鞭草,plant,"Anza-Borrego Desert, CA"
desert-lily.jpg,Hesperocallis undulata,Desert Lily,沙漠百合,plant,"Mojave Desert, CA"
mariposa-lily.jpg,Calochortus venustus,Mariposa Lily,蝴蝶百合,plant,"Sierra Nevada foothills, CA"
chocolate-lily.jpg,Fritillaria affinis,Chocolate Lily,巧克力百合,plant,"Coast Ranges, CA"
western-blue-eyed-grass.jpg,Sisyrinchium bellum,Western Blue-eyed Grass,蓝眼草,plant,"Coastal meadows, CA"
douglas-iris.jpg,Iris douglasiana,Douglas Iris,道格拉斯鸢尾,plant,"Coastal bluffs, CA"
california-fuchsia.jpg,Epilobium canum,California Fuchsia,加州倒挂金钟,plant,"Coastal scrub, CA"
sticky-monkeyflower.jpg,Diplacus aurantiacus,Sticky Monkeyflower,猴面花,plant,"Chaparral, CA"
california-lilac.jpg,Ceanothus thyrsiflorus,California Lilac,加州丁香,plant,"Coastal scrub, CA"
matilija-poppy.jpg,Romneya coulteri,Matilija Poppy,煎蛋花,plant,Southern California
pacific-tree-frog.jpg,Pseudacris regilla,Pacific Tree Frog,太平洋树蛙,amphibian,"Coastal wetlands, CA"
california-red-legged-frog.jpg,Rana draytonii,California Red-legged Frog,加州红腿蛙,amphibian,"Bay Area creeks, CA"
california-newt.jpg,Taricha torosa,California Newt,加州肥螈,amphibian,"Oak woodlands, CA"
rough-skinned-newt.jpg,Taricha granulosa,Rough-skinned Newt,粗皮蝾螈,amphibian,"North Coast forests, CA"
california-tiger-salamander.jpg,Ambystoma californiense,California Tiger Salamander,加州虎纹蝾螈,amphibian,"Central Valley, CA"
monarch-butterfly.jpg,Danaus plexippus,Monarch Butterfly,黑脉金斑蝶,insect,"Pacific Grove, CA"
western-swallowtail.jpg,Papilio rutulus,Western Tiger Swallowtail,西部燕尾蝶,insect,"Yosemite Valley, CA"
painted-lady.jpg,Vanessa cardui,Painted Lady,彩蛱蝶,insect,Southern California
pipevine-swallowtail.jpg,Battus philenor,Pipevine Swallowtail,马兜铃燕尾蝶,insect,"Coast Ranges, CA"
anna-blue.jpg,Plebejus anna,Anna's Blue,安娜蓝灰蝶,insect,"Sierra Nevada, CA"
california-sister.jpg,Adelpha californica,California Sister,加州修女蝶,insect,"Oak woodlands, CA"
california-dogface.jpg,Zerene eurydice,California Dogface,加州州蝶,insect,"Sierra foothills, CA"
california-quail.jpg,Callipepla californica,California Quail,加州鹌鹑,bird,"Oak woodlands, CA"
annas-hummingbird.jpg,Calypte anna,Anna's Hummingbird,安氏蜂鸟,bird,"Urban gardens, CA"
rufous-hummingbird.jpg,Selasphorus rufus,Rufous Hummingbird,棕煌蜂鸟,bird,"Spring migration, CA"
western-bluebird.jpg,Sialia mexicana,Western Bluebird,西部蓝鸲,bird,"Oak woodlands, CA"
acorn-woodpecker.jpg,Melanerpes formicivorus,Acorn Woodpecker,橡树啄木鸟,bird,"Coast Ranges, CA"
northern-flicker.jpg,Colaptes auratus,Northern Flicker,北扑翅鴷,bird,"Urban parks, CA"
western-scrub-jay.jpg,Aphelocoma californica,California Scrub-Jay,加州丛鸦,bird,Throughout California
stellers-jay.jpg,Cyanocitta stelleri,Steller's Jay,暗冠蓝鸦,bird,"Sierra Nevada, CA"
western-meadowlark.jpg,Sturnella neglecta,Western Meadowlark,西部草地鹨,bird,"Central Valley, CA"
yellow-billed-magpie.jpg,Pica nuttalli,Yellow-billed Magpie,黄嘴喜鹊,bird,"Central Valley, CA"
western-tanager.jpg,Piranga ludoviciana,Western Tanager,西部唐纳雀,bird,"Sierra Nevada, CA"
lazuli-bunting.jpg,Passerina amoena,Lazuli Bunting,琉璃彩鹀,bird,"Riparian areas, CA"
hooded-oriole.jpg,Icterus cucullatus,Hooded Oriole,巾冠拟鹂,bird,"Palm groves, Southern CA"
american-robin.jpg,Turdus migratorius,American Robin,旅鸫,bird,Throughout California
cedar-waxwing.jpg,Bombycilla cedrorum,Cedar Waxwing,雪松太平鸟,bird,"Urban parks, CA"
killdeer.jpg,Charadrius vociferus,Killdeer,双领鸻,bird,"Open fields, CA"
american-avocet.jpg,Recurvirostra americana,American Avocet,褐胸反嘴鹬,bird,"San Francisco Bay, CA"
black-necked-stilt.jpg,Himantopus mexicanus,Black-necked Stilt,黑颈长脚鹬,bird,"Central Valley, CA"
western-gull.jpg,Larus occidentalis,Western Gull,西美鸥,bird,California coast
heermanns-gull.jpg,Larus heermanni,Heermann's Gull,希曼氏鸥,bird,"Monterey Bay, CA"
common-murre.jpg,Uria aalge,Common Murre,普通海鸦,bird,"Farallon Islands, CA"
tufted-puffin.jpg,Fratercula cirrhata,Tufted Puffin,簇羽海鹦,bird,"Farallon Islands, CA"
sierra-bighorn.jpg,Ovis canadensis sierrae,Sierra Nevada Bighorn Sheep,内华达大角羊,mammal,"Eastern Sierra, CA"
desert-bighorn.jpg,Ovis canadensis nelsoni,Desert Bighorn Sheep,沙漠大角羊,mammal,"Mojave Desert, CA"
yellow-bellied-marmot.jpg,Marmota flaviventris,Yellow-bellied Marmot,黄腹旱獭,mammal,"Yosemite National Park, CA"
western-gray-squirrel.jpg,Sciurus griseus,Western Gray Squirrel,西部灰松鼠,mammal,"Oak woodlands, CA"
california-ground-squirrel.jpg,Otospermophilus beecheyi,California Ground Squirrel,加州地松鼠,mammal,Throughout California
desert-kangaroo-rat.jpg,Dipodomys deserti,Desert Kangaroo Rat,沙漠更格卢鼠,mammal,"Mojave Desert, CA"
desert-tortoise.jpg,Gopherus agassizii,Desert Tortoise,沙漠龟,reptile,"Mojave Desert, CA"
western-fence-lizard.jpg,Sceloporus occidentalis,Western Fence Lizard,西部篱蜥,reptile,Throughout California
western-rattlesnake.jpg,Crotalus oreganus,Western Rattlesnake,西部响尾蛇,reptile,"Sierra foothills, CA"
chuckwalla.jpg,Sauromalus ater,Chuckwalla,变色沙蜥,reptile,"Colorado Desert, CA"
leopard-lizard.jpg,Gambelia sila,Blunt-nosed Leopard Lizard,豹斑蜥,reptile,"San Joaquin Valley, CA"
greater-roadrunner.jpg,Geococcyx californianus,Greater Roadrunner,走鹃,bird,Southern California deserts
desert-tarantula.jpg,Aphonopelma spp.,Desert Tarantula,沙漠狼蛛,insect,"Mojave Desert, CA"
california-grunion.jpg,Leuresthes tenuis,California Grunion,加州滑银鱼,fish,Southern California beaches
pacific-angel-shark.jpg,Squatina californica,Pacific Angel Shark,太平洋扁鲨,fish,"Channel Islands, CA"
aggregating-anemone.jpg,Anthopleura elegantissima,Aggregating Anemone,群聚海葵,marine,California tide pools
ochre-sea-star.jpg,Pisaster ochraceus,Ochre Sea Star,赭色海星,marine,California tide pools
california-mussel.jpg,Mytilus californianus,California Mussel,加州贻贝,marine,"Rocky intertidal, CA"
purple-sea-urchin.jpg,Strongylocentrotus purpuratus,Purple Sea Urchin,紫海胆,marine,"Kelp forests, CA"
giant-green-anemone.jpg,Anthopleura xanthogrammica,Giant Green Anemone,巨绿海葵,marine,"Tide pools, CA"
chinook-salmon.jpg,Oncorhynchus tshawytscha,Chinook Salmon,奇努克鲑鱼,fish,"Sacramento River, CA"
coho-salmon.jpg,Oncorhynchus kisutch,Coho Salmon,银鲑,fish,"North Coast streams, CA"
steelhead.jpg,Oncorhynchus mykiss,Steelhead Trout,硬头鳟,fish,"Russian River, CA"
coast-redwood.jpg,Sequoia sempervirens,Coast Redwood,海岸红杉,plant,"Muir Woods National Monument, CA"
giant-sequoia.jpg,Sequoiadendron giganteum,Giant Sequoia,巨杉,plant,"Sequoia National Park, CA"
california-black-oak.jpg,Quercus kelloggii,California Black Oak,加州黑栎,plant,"Yosemite National Park, CA"
coast-live-oak.jpg,Quercus agrifolia,Coast Live Oak,海岸活橡,plant,"Coastal valleys, CA"
blue-oak.jpg,Quercus douglasii,Blue Oak,蓝橡树,plant,"Sierra Nevada foothills, CA"
quaking-aspen.jpg,Populus tremuloides,Quaking Aspen,颤杨,plant,"Eastern Sierra, CA"
california-buckeye.jpg,Aesculus californica,California Buckeye,加州七叶树,plant,"Coast Ranges, CA"
western-sycamore.jpg,Platanus racemosa,Western Sycamore,加州悬铃木,plant,"Riparian zones, CA"
incense-cedar.jpg,Calocedrus decurrens,Incense Cedar,香雪松,plant,"Sierra Nevada, CA"
sugar-pine.jpg,Pinus lambertiana,Sugar Pine,糖松,plant,"Sierra Nevada, CA"
manzanita.jpg,Arctostaphylos manzanita,Manzanita,熊果树,plant,"Chaparral, CA"
joshua-tree.jpg,Yucca brevifolia,Joshua Tree,约书亚树,plant,"Joshua Tree National Park, CA"
creosote-bush.jpg,Larrea tridentata,Creosote Bush,木馏油灌木,plant,"Mojave Desert, CA"
california-scorpion.jpg,Paruroctonus silvestrii,California Common Scorpion,加州蝎,insect,"Sierra Nevada foothills, CA"
california-mantis.jpg,Stagmomantis californica,California Mantis,加州螳螂,insect,"Chaparral, CA"
dragonfly-green-darner.jpg,Anax junius,Common Green Darner,绿蜻蜓,insect,"Wetlands, CA"
ladybug-convergent.jpg,Hippodamia convergens,Convergent Lady Beetle,聚集瓢虫,insect,"Sierra Nevada, CA"
bumble-bee-yellow-faced.jpg,Bombus vosnesenskii,Yellow-faced Bumble Bee,黄脸熊蜂,insect,"Coastal meadows, CA"
carpenter-bee.jpg,Xylocopa californica,California Carpenter Bee,加州木蜂,insect,"Oak woodlands, CA"
velvet-ant.jpg,Dasymutilla aureola,Velvet Ant,绒蚁,insect,"Desert regions, CA"
california-sycamore-borer.jpg,Dinoptera anthracina,California Sycamore Borer,悬铃木天牛,insect,"Riparian forests, CA"
gopher-snake.jpg,Pituophis catenifer,Gopher Snake,牛蛇,reptile,Throughout California
california-kingsnake.jpg,Lampropeltis californiae,California Kingsnake,加州王蛇,reptile,Throughout California
california-whiptail.jpg,Aspidoscelis tigris munda,California Whiptail,加州鞭尾蜥,reptile,"Central Valley, CA"
common-nighthawk.jpg,Chordeiles minor,Common Nighthawk,普通夜鹰,bird,"Desert skies, CA"
