File Name,Scientific Name,English Common Name,Chinese Name,Category,Photo Location,iNaturalist URL
northern-elephant-seal,Mirounga angustirostris,Northern Elephant Seal,北象海豹,mammal,"Año Nuevo State Reserve, CA",https://www.inaturalist.org/observations?taxon_name=Mirounga%20angustirostris
gray-whale,Eschrichtius robustus,Gray Whale,灰鲸,marine,"Monterey Bay, CA",https://www.inaturalist.org/observations?taxon_name=Eschrichtius%20robustus
humpback-whale,Megaptera novaeangliae,Humpback Whale,座头鲸,marine,"Monterey Bay, CA",https://www.inaturalist.org/observations?taxon_name=Megaptera%20novaeangliae
blue-whale,Balaenoptera musculus,Blue Whale,蓝鲸,marine,"Channel Islands, CA",https://www.inaturalist.org/observations?taxon_name=Balaenoptera%20musculus
california-sea-lion,Zalophus californianus,California Sea Lion,加州海狮,marine,"Pier 39, San Francisco, CA",https://www.inaturalist.org/observations?taxon_name=Zalophus%20californianus
harbor-seal,Phoca vitulina,Harbor Seal,港海豹,marine,"Elkhorn Slough, CA",https://www.inaturalist.org/observations?taxon_name=Phoca%20vitulina
sea-otter,Enhydra lutris nereis,Sea Otter,海獭,marine,"Monterey Bay, CA",https://www.inaturalist.org/observations?taxon_name=Enhydra%20lutris%20nereis
brown-pelican,Pelecanus occidentalis californicus,Brown Pelican,褐鹈鹕,bird,"La Jolla Cove, CA",https://www.inaturalist.org/observations?taxon_name=Pelecanus%20occidentalis%20californicus
great-blue-heron,Ardea herodias,Great Blue Heron,大蓝鹭,bird,"Sacramento NWR, CA",https://www.inaturalist.org/observations?taxon_name=Ardea%20herodias
great-egret,Ardea alba,Great Egret,大白鹭,bird,"Central Valley wetlands, CA",https://www.inaturalist.org/observations?taxon_name=Ardea%20alba
snowy-egret,Egretta thula,Snowy Egret,雪鹭,bird,"Bolsa Chica, CA",https://www.inaturalist.org/observations?taxon_name=Egretta%20thula
black-crowned-night-heron,Nycticorax nycticorax,Black-crowned Night Heron,夜鹭,bird,"Lake Merritt, Oakland, CA",https://www.inaturalist.org/observations?taxon_name=Nycticorax%20nycticorax
