File Name,Scientific Name,English Common Name,Chinese Name,Category,Photo Location,iNaturalist URL
northern-elephant-seal.jpg,Mirounga angustirostris,Northern Elephant Seal,北象海豹,mammal,"Año Nuevo State Reserve, CA",https://www.inaturalist.org/observations?taxon_name=Mirounga%20angustirostris
gray-whale.jpg,Eschrichtius robustus,Gray Whale,灰鲸,marine,"Monterey Bay, CA",https://www.inaturalist.org/observations?taxon_name=Eschrichtius%20robustus
humpback-whale.jpg,Megaptera novaeangliae,Humpback Whale,座头鲸,marine,"Monterey Bay, CA",https://www.inaturalist.org/observations?taxon_name=Megaptera%20novaeangliae
blue-whale.jpg,Balaenoptera musculus,Blue Whale,蓝鲸,marine,"Channel Islands, CA",https://www.inaturalist.org/observations?taxon_name=Balaenoptera%20musculus
california-sea-lion.jpg,Zalophus californianus,California Sea Lion,加州海狮,marine,"Pier 39, San Francisco, CA",https://www.inaturalist.org/observations?taxon_name=Zalophus%20californianus
harbor-seal.jpg,Phoca vitulina,Harbor Seal,港海豹,marine,"Elkhorn Slough, CA",https://www.inaturalist.org/observations?taxon_name=Phoca%20vitulina
sea-otter.jpg,Enhydra lutris nereis,Sea Otter,海獭,marine,"Monterey Bay, CA",https://www.inaturalist.org/observations?taxon_name=Enhydra%20lutris%20nereis
brown-pelican.jpg,Pelecanus occidentalis californicus,Brown Pelican,褐鹈鹕,bird,"La Jolla Cove, CA",https://www.inaturalist.org/observations?taxon_name=Pelecanus%20occidentalis%20californicus
great-blue-heron.jpg,Ardea herodias,Great Blue Heron,大蓝鹭,bird,"Sacramento NWR, CA",https://www.inaturalist.org/observations?taxon_name=Ardea%20herodias
great-egret.jpg,Ardea alba,Great Egret,大白鹭,bird,"Central Valley wetlands, CA",https://www.inaturalist.org/observations?taxon_name=Ardea%20alba
snowy-egret.jpg,Egretta thula,Snowy Egret,雪鹭,bird,"Bolsa Chica, CA",https://www.inaturalist.org/observations?taxon_name=Egretta%20thula
black-crowned-night-heron.jpg,Nycticorax nycticorax,Black-crowned Night Heron,夜鹭,bird,"Lake Merritt, Oakland, CA",https://www.inaturalist.org/observations?taxon_name=Nycticorax%20nycticorax
tundra-swan.jpg,Cygnus columbianus,Tundra Swan,苔原天鹅,bird,"Sacramento NWR, CA",https://www.inaturalist.org/observations?taxon_name=Cygnus%20columbianus
snow-goose.jpg,Anser caerulescens,Snow Goose,雪雁,bird,"Central Valley, CA",https://www.inaturalist.org/observations?taxon_name=Anser%20caerulescens
canada-goose.jpg,Branta canadensis,Canada Goose,加拿大雁,bird,"Golden Gate Park, San Francisco, CA",https://www.inaturalist.org/observations?taxon_name=Branta%20canadensis
northern-shoveler.jpg,Spatula clypeata,Northern Shoveler,琵嘴鸭,bird,"Central Valley, CA",https://www.inaturalist.org/observations?taxon_name=Spatula%20clypeata
american-wigeon.jpg,Mareca americana,American Wigeon,赤颈凫,bird,"San Francisco Bay, CA",https://www.inaturalist.org/observations?taxon_name=Mareca%20americana
northern-pintail.jpg,Anas acuta,Northern Pintail,针尾鸭,bird,"Klamath Basin, CA",https://www.inaturalist.org/observations?taxon_name=Anas%20acuta
green-winged-teal.jpg,Anas crecca,Green-winged Teal,绿翅鸭,bird,"Sacramento NWR, CA",https://www.inaturalist.org/observations?taxon_name=Anas%20crecca
ruddy-duck.jpg,Oxyura jamaicensis,Ruddy Duck,棕硬尾鸭,bird,"San Francisco Bay, CA",https://www.inaturalist.org/observations?taxon_name=Oxyura%20jamaicensis
bufflehead.jpg,Bucephala albeola,Bufflehead,白枕鹊鸭,bird,"Morro Bay, CA",https://www.inaturalist.org/observations?taxon_name=Bucephala%20albeola
